0,2,11,6,1,6,5,4,11,4,13,0,0,0,
0,0,-1000000000000000007,-1000000000000000007,2,0,1,-1000000000000000007,0,0,0,0,0,0,
9,-1000000000000000007,0,1,2,1,2,3,6,5,0,0,2,0,
4,-1000000000000000007,4,0,9,2,-1000000000000000007,-1000000000000000007,6,7,1,-1000000000000000007,0,-1000000000000000007,
4,0,4,11,0,6,11,1,5,3,2,4,-1000000000000000007,2,
4,2,4,0,4,0,-1000000000000000007,0,8,4,0,0,0,-1000000000000000007,
3,3,0,-1000000000000000007,9,-1000000000000000007,0,-1000000000000000007,2,9,4,0,2,-1000000000000000007,
6,-1000000000000000007,1,-1000000000000000007,3,2,-1000000000000000007,0,0,0,0,0,0,0,
17,0,4,4,2,5,5,0,0,4,0,0,-1000000000000000007,0,
2,0,2,4,1,1,13,0,2,0,4,1,-1000000000000000007,0,
9,0,2,3,4,0,6,0,2,6,0,1,0,0,
2,0,2,-1000000000000000007,6,2,2,0,2,4,3,0,0,0,
2,0,0,2,-1000000000000000007,0,0,0,-1000000000000000007,-1000000000000000007,2,2,0,0,
2,0,2,-1000000000000000007,0,-1000000000000000007,-1000000000000000007,2,0,0,0,0,0,0,
