50,100,55,60,33,60,61,40,46,63,54,0,0,0,
0,50,50,50,100,0,25,50,50,50,50,50,50,50,
45,50,50,33,36,33,76,75,60,62,22,20,100,0,
40,50,66,50,45,80,50,50,60,58,30,50,0,50,
66,0,63,55,50,60,55,25,62,68,36,40,50,100,
40,100,66,20,40,50,50,0,57,66,50,0,50,50,
38,75,23,50,45,50,50,50,37,45,40,16,100,50,
60,50,25,50,75,100,50,50,50,50,50,50,50,0,
53,50,40,40,37,42,62,50,50,64,22,20,50,50,
36,50,37,41,31,33,54,50,35,50,40,33,50,50,
45,50,77,70,63,50,60,50,77,60,50,25,0,50,
100,50,80,50,60,100,83,50,80,66,75,50,0,50,
100,50,0,100,50,50,0,50,50,50,100,100,50,50,
100,50,100,50,0,50,50,100,50,50,50,50,50,50,
